Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Military Studies Minor,24,ARMY 204,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,ARMY 301,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,ARMY 302,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,ARMY 401,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,ARMY 402,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,NAVSC 101,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,NAVSC 102,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,NAVSC 200,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,NAVSC 313,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
Military Studies Minor,24,NAVSC 402,N/A,,Select 0-3 Credits,"At least 6 credits must be taken at the 400 level.; A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/intercollege/military-studies-minor/
