Minor,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
Watersheds and Water Resources Minor,18,ENVE 415,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,ENVSE 408,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,ERM 411,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,ERM 435,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,ERM 450,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,FOR 470,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,FOR 471,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,GEOG 431,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,GEOSC 201,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
Watersheds and Water Resources Minor,18,GEOSC 340,N/A,,Select 18 Credits,"A grade of C or better is required for all courses in the minor, as specified by Senate Policy 59-10. In addition, at least six credits of the minor must be unique from the prescribed courses required by a student's major(s).",https://bulletins.psu.edu/undergraduate/colleges/earth-mineral-sciences/watersheds-water-resources-minor/
