Certificate,Total_Credits,Course_Code,Course_Title,Credits,Type,Program_Policies,URL
"African Literature, Visual Arts, and Performance",12,AFR 447,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,AFR 459,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,AFR 497,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,ARTH 130,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,ARTH 446,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,CMLIT 422,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,CMLIT 423,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,DANCE 220,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,DANCE 411,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,FR 458,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
"African Literature, Visual Arts, and Performance",12,WMNST 462,,3.0,Select 6 Credits,"To earn an undergraduate certificate in African Literature, Visual Arts, and Performance, a minimum of 12 credits is required.; No prerequisites required.",https://bulletins.psu.edu/undergraduate/colleges/liberal-arts/african-literature-visual-arts-performance-certificate/
