,major,course_code,course_title,credits,Mandatory,Select,Academic_Plan,year,semester,url,course_title_cleaned
18,Computer Science B.S.,CMPEN 271 | CMPEN 275,CMPEN 275,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,CMPEN 275
19,Computer Science B.S.,CMPSC 311,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
20,Computer Science B.S.,CMPSC 221,,3.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
21,Computer Science B.S.,CMPSC 132,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
22,Computer Science B.S.,CMPEN 270,,4.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
23,Computer Science B.S.,CMPSC 131,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
24,Computer Science B.S.,CMPSC 121,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
26,Computer Science B.S.,CMPSC 360,,3.0,1,0,1,Second Year,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
27,Computer Science B.S.,MATH 220,,23.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
28,Computer Science B.S.,PHYS 212,,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
29,Computer Science B.S.,CAS 100A,,3.0,0,1,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
30,Computer Science B.S.,MATH 140,,4.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
31,Computer Science B.S.,MATH 141,,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
32,Computer Science B.S.,CAS 100B,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
33,Computer Science B.S.,MATH 230,,4.0,1,0,1,Second Year,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
34,Computer Science B.S.,PHYS 211,,4.0,1,0,1,,Spring,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
35,Computer Science B.S.,PHYS 214,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
36,Computer Science B.S.,PHYS 213,,3.0,0,1,0,,,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
37,Computer Science B.S.,ENGL 15,,3.0,1,0,1,,Fall,https://bulletins.psu.edu/undergraduate/colleges/engineering/computer-science-bs/,
